timestamp,timestring,Close_D
1484524800000,2017-01-16,12.6
1484611200000,2017-01-17,12.55
1484697600000,2017-01-18,12.7
1484784000000,2017-01-19,12.7
1484870400000,2017-01-20,12.65
1485129600000,2017-01-23,12.7
1485216000000,2017-01-24,12.7
1485993600000,2017-02-02,12.65
1486080000000,2017-02-03,12.8
1486339200000,2017-02-06,12.85
1486425600000,2017-02-07,13
1486512000000,2017-02-08,13
1486598400000,2017-02-09,12.95
1486684800000,2017-02-10,13
1486944000000,2017-02-13,12.9
1487030400000,2017-02-14,12.9
1487116800000,2017-02-15,12.9
1487203200000,2017-02-16,12.85
1487289600000,2017-02-17,12.85
1487376000000,2017-02-18,12.9
1487548800000,2017-02-20,12.9
1471478400000,2016-08-18,14.1
1471564800000,2016-08-19,14.05
1471824000000,2016-08-22,14
1471910400000,2016-08-23,14
1471996800000,2016-08-24,14.05
1472083200000,2016-08-25,14.05
1472169600000,2016-08-26,14.15
1472428800000,2016-08-29,14.15
1472515200000,2016-08-30,14.1
1472601600000,2016-08-31,14.1
1472688000000,2016-09-01,14.1
1472774400000,2016-09-02,14
1473033600000,2016-09-05,14.1
1473120000000,2016-09-06,14
1473206400000,2016-09-07,14.3
1473292800000,2016-09-08,13.25
1473379200000,2016-09-09,13.3
1473465600000,2016-09-10,13.1
1473638400000,2016-09-12,13.05
1473724800000,2016-09-13,13
1473811200000,2016-09-14,13
1474243200000,2016-09-19,12.8
1474329600000,2016-09-20,12.8
1474416000000,2016-09-21,13.1
1474502400000,2016-09-22,13
1474588800000,2016-09-23,12.95
1474848000000,2016-09-26,12.9
1475107200000,2016-09-29,12.85
1475193600000,2016-09-30,12.95
1475452800000,2016-10-03,12.85
1475539200000,2016-10-04,12.8
1475625600000,2016-10-05,12.8
1475712000000,2016-10-06,12.85
1475798400000,2016-10-07,12.9
1476144000000,2016-10-11,12.75
1476230400000,2016-10-12,12.7
1476316800000,2016-10-13,12.8
1476403200000,2016-10-14,12.7
1476662400000,2016-10-17,12.65
1476748800000,2016-10-18,12.7
1476835200000,2016-10-19,12.7
1476921600000,2016-10-20,12.65
1477008000000,2016-10-21,12.75
1477267200000,2016-10-24,12.65
1477353600000,2016-10-25,12.85
1477440000000,2016-10-26,12.8
1477526400000,2016-10-27,12.8
1477612800000,2016-10-28,12.8
1477872000000,2016-10-31,12.75
1477958400000,2016-11-01,12.8
1478044800000,2016-11-02,12.75
1478131200000,2016-11-03,12.7
1478217600000,2016-11-04,12.65
1478476800000,2016-11-07,12.65
1478563200000,2016-11-08,12.65
1478649600000,2016-11-09,12.5
1478736000000,2016-11-10,12.6
1478822400000,2016-11-11,12.5
1479081600000,2016-11-14,12.5
1479168000000,2016-11-15,12.5
1479254400000,2016-11-16,12.55
1479340800000,2016-11-17,12.45
1479427200000,2016-11-18,12.55
1479686400000,2016-11-21,12.6
1479772800000,2016-11-22,12.7
1479859200000,2016-11-23,12.7
1479945600000,2016-11-24,12.6
1480032000000,2016-11-25,12.5
1480291200000,2016-11-28,12.55
1480377600000,2016-11-29,12.7
1480464000000,2016-11-30,12.55
1480550400000,2016-12-01,12.6
1480636800000,2016-12-02,12.75
1480896000000,2016-12-05,12.85
1480982400000,2016-12-06,12.6
1481068800000,2016-12-07,12.6
1481155200000,2016-12-08,12.6
1481241600000,2016-12-09,12.6
1481500800000,2016-12-12,12.6
1481587200000,2016-12-13,12.6
1481673600000,2016-12-14,12.65
1481760000000,2016-12-15,12.6
1481846400000,2016-12-16,12.6
1482105600000,2016-12-19,12.65
1482192000000,2016-12-20,12.7
1482278400000,2016-12-21,12.55
1482364800000,2016-12-22,12.6
1482451200000,2016-12-23,12.6
1482710400000,2016-12-26,12.8
1482796800000,2016-12-27,12.6
1482883200000,2016-12-28,12.6
1482969600000,2016-12-29,12.6
1483056000000,2016-12-30,12.65
1483488000000,2017-01-04,12.55
1483574400000,2017-01-05,12.6
1483660800000,2017-01-06,12.55
1483920000000,2017-01-09,12.6
1484006400000,2017-01-10,12.65
1484092800000,2017-01-11,12.7
1484179200000,2017-01-12,12.6
1484524800000,2017-01-16,12.6
1484611200000,2017-01-17,12.55
1484697600000,2017-01-18,12.7
1484784000000,2017-01-19,12.7
1484870400000,2017-01-20,12.65
1485129600000,2017-01-23,12.7
1485216000000,2017-01-24,12.7
1485993600000,2017-02-02,12.65
1486080000000,2017-02-03,12.8
1486339200000,2017-02-06,12.85
1486425600000,2017-02-07,13
1486512000000,2017-02-08,13
1486598400000,2017-02-09,12.95
1486684800000,2017-02-10,13
1486944000000,2017-02-13,12.9
1487030400000,2017-02-14,12.9
1487116800000,2017-02-15,12.9
1487203200000,2017-02-16,12.85
1487289600000,2017-02-17,12.85
1487376000000,2017-02-18,12.9
1487548800000,2017-02-20,12.9
